"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1993:Q2","GenX",605403,900120,394400,149049,148277,73443,35492,99458,294717,192728,100322,1667
"1993:Q2","Millenial",0,0,0,0,0,0,0,0,0,0,0,0
"1993:Q3","Silent",17538557,18948307,4597225,1133928,2348101,4447097,2042256,4379699,1409749,1011171,261418,137160
"1993:Q3","BabyBoom",6875861,9150541,2904951,972742,1088872,1829379,1026288,1328309,2274680,1760000,468297,46382
"1993:Q3","GenX",594781,896268,330003,159209,175234,85805,36402,109616,301487,186846,112953,1688
"1993:Q3","Millenial",0,0,0,0,0,0,0,0,0,0,0,0
"1993:Q4","Silent",17575384,18983062,4553846,1132494,2388032,4490028,2023384,4395278,1407678,1001508,265619,140551
"1993:Q4","BabyBoom",7164114,9498397,2983804,993061,1190987,1898511,1079779,1352256,2334283,1788064,496177,50043
"1993:Q4","GenX",684384,1020305,383948,176523,210933,71859,41866,135177,335921,209607,124373,1941
"1993:Q4","Millenial",0,0,0,0,0,0,0,0,0,0,0,0
"1994:Q1","Silent",17602369,18991861,4374400,1110217,2423510,4437869,2128741,4517123,1389492,991852,256195,141445
"1994:Q1","BabyBoom",7222603,9549545,3026012,1023039,1058689,2012583,1064611,1364611,2326942,1779916,495589,51437
"1994:Q1","GenX",738152,1129967,583644,192781,141404,92085,12829,107223,391815,257701,132092,2022
"1994:Q1","Millenial",0,0,0,0,0,0,0,0,0,0,0,0
"1994:Q2","Silent",17956064,19340191,4351820,1111032,2576905,4383672,2282278,4634485,1384127,983906,257686,142535
"1994:Q2","BabyBoom",7067080,9445783,3092409,1041568,912890,2128980,983487,1286450,2378703,1806629,518929,53145
"1994:Q2","GenX",699231,1127698,625979,206948,54462,129854,0,110455,428466,284087,141965,2414
"1994:Q2","Millenial",0,0,0,0,0,0,0,0,0,0,0,0
"1994:Q3","Silent",18313358,19698952,4443697,1130237,2696887,4401280,2339905,4686945,1385593,981391,262534,141669
"1994:Q3","BabyBoom",7128248,9588462,3163374,1049255,892982,2228523,960697,1293630,2460215,1863956,542940,53319
"1994:Q3","GenX",605447,1038309,540523,217007,23265,140032,0,117482,432862,275702,154480,2681
"1994:Q3","Millenial",0,0,0,0,0,0,0,0,0,0,0,0
"1994:Q4","Silent",18680813,20075055,4504099,1138627,2808928,4340219,2469819,4813362,1394242,979484,268471,146287
"1994:Q4","BabyBoom",7025642,9569080,3192223,1060490,764982,2355949,883927,1311511,2543438,1898310,584988,60140
"1994:Q4","GenX",531982,991152,509769,225046,0,127835,0,128501,459170,288145,167709,3316
"1994:Q4","Millenial",0,0,0,0,0,0,0,0,0,0,0,0
"1995:Q1","Silent",18965493,20357666,4478310,1146738,2973417,4437625,2500778,4820799,1392173,979073,269598,143502
"1995:Q1","BabyBoom",7215033,9773695,3237652,1075425,825735,2395576,899377,1339930,2558663,1920951,577531,60181
"1995:Q1","GenX",579994,1052998,536136,238536,0,147822,0,130503,473003,291902,177416,3685
"1995:Q1","Millenial",0,0,0,0,0,0,0,0,0,0,0,0
"1995:Q2","Silent",19194073,20603768,4572654,1181156,3076061,4573771,2431705,4768420,1409695,990089,277125,142482
