"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1994:Q4","pct80to99",10792610,12748494,3334160,873855,1585518,3249584,1363933,2341444,1955884,1524357,335419,96108
"1994:Q4","pct60to80",4517321,5627139,1733593,553052,381562,1559056,411872,988004,1109818,838858,244558,26403
"1994:Q4","pct40to60",2974354,3562576,1112542,373289,219308,893921,266073,697443,588222,362495,211868,13860
"1994:Q4","pct20to40",2000621,2331455,839369,239136,126426,481597,134957,509969,330834,186819,127155,16860
"1994:Q4","pct00to20",997593,1150588,401859,127449,60385,166222,181187,213485,152995,66474,83020,3500
"1995:Q1","pct99",5161682,5413875,792390,262326,1327951,494299,1013491,1523418,252193,189373,11217,51603
"1995:Q1","pct80to99",10945137,12906755,3336994,883728,1645467,3284247,1410465,2345854,1961618,1529562,341080,90976
"1995:Q1","pct60to80",4550328,5684291,1750008,564284,409744,1576256,397352,986647,1133963,854703,251745,27515
"1995:Q1","pct40to60",3014851,3600810,1117328,375780,221885,936436,251799,697581,585959,361744,209684,14531
"1995:Q1","pct20to40",2061888,2396563,848309,244874,132520,510684,136526,523650,334676,190901,125616,18160
"1995:Q1","pct00to20",1026634,1182064,407067,129708,61584,179101,190523,214082,155430,65643,85204,4583
"1995:Q2","pct99",5297074,5553219,751058,266287,1429937,512636,1049779,1543523,256144,192450,11779,51915
"1995:Q2","pct80to99",11107268,13070755,3293739,894634,1750296,3331037,1437118,2363931,1963488,1518379,354149,90960
"1995:Q2","pct60to80",4645497,5804427,1793703,574494,437804,1625246,386863,986316,1158930,858784,271411,28735
"1995:Q2","pct40to60",3034496,3654233,1150746,376965,227102,963180,235791,700448,619737,388870,215503,15364
"1995:Q2","pct20to40",2117069,2473082,879756,246356,141506,536239,136736,532489,356012,205857,130607,19548
"1995:Q2","pct00to20",1073454,1231835,456179,125582,60531,187713,187346,214484,158380,73961,79678,4741
"1995:Q3","pct99",5478001,5744100,726976,272098,1543857,529692,1104452,1567026,266098,194978,15084,56037
"1995:Q3","pct80to99",11343755,13329982,3281164,902562,1896419,3389254,1458500,2402084,1986227,1518314,368606,99307
"1995:Q3","pct60to80",4722581,5907810,1829856,582853,470248,1672158,382858,969837,1185228,865645,290325,29259
"1995:Q3","pct40to60",3045532,3694794,1177544,376907,233185,987035,220498,699625,649262,409506,224198,15558
"1995:Q3","pct20to40",2167020,2544537,903112,247568,152899,564148,136669,540140,377517,218273,138315,20929
"1995:Q3","pct00to20",1109833,1269685,494485,123002,57317,196948,181528,216406,159852,83056,73072,3725
"1995:Q4","pct99",5617233,5896711,731574,274471,1663738,519534,1115973,1591421,279479,198819,24648,56012
"1995:Q4","pct80to99",11728404,13745041,3336225,913066,2082607,3467326,1492060,2453756,2016637,1539573,379354,97710
"1995:Q4","pct60to80",4800822,6024977,1833334,584561,495428,1720398,386163,1005092,1224154,882832,310183,31140
"1995:Q4","pct40to60",3087948,3751638,1183982,382326,238596,1017061,228783,700890,663690,407760,238678,17252
"1995:Q4","pct20to40",2191892,2575259,906911,250279,158410,572884,141182,545592,383367,216165,147162,20039
"1995:Q4","pct00to20",1115551,1264434,497428,124551,53378,199552,168580,220946,148883,74777,68134,5972
"1996:Q1","pct99",5677019,5960196,737814,275624,1709369,510020,1127156,1600214,283177,203699,17087,62391
"1996:Q1","pct80to99",12058465,14127538,3417025,925461,2205856,3538301,1513680,2527214,2069073,1576082,378753,114238
"1996:Q1","pct60to80",4876910,6132506,1833897,588110,510846,1781963,391135,1026555,1255595,914334,311831,29430
