"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1992:Q4","Black",1013818,1256281,365753,137465,41275,495981,82260,133547,242463,154459,81081,6923
"1992:Q4","Hispanic",463830,652450,252980,74643,18035,141382,81260,84150,188620,138597,47167,2857
"1992:Q4","Other",1081934,1273677,345758,107165,96754,270423,201707,251870,191743,149111,32097,10535
"1993:Q1","White",21857278,24997325,6602815,1875335,3216706,5235346,2705228,5361895,3140046,2344869,640686,154491
"1993:Q1","Black",1005250,1274321,391811,143463,42655,490331,74951,131110,269071,175285,86968,6819
"1993:Q1","Hispanic",437948,661800,270360,76070,16538,143997,73564,81271,223851,174497,46454,2900
"1993:Q1","Other",1077099,1280427,389079,111532,101187,260314,185804,232510,203328,159537,33155,10636
"1993:Q2","White",22158813,25369227,6709696,1909921,3280554,5339919,2763118,5366019,3210413,2407429,647610,155374
"1993:Q2","Black",992250,1266167,388403,141509,44006,492260,71244,128746,273917,176747,90695,6475
"1993:Q2","Hispanic",436180,651474,267879,75457,13491,145571,68694,80382,215294,166333,46016,2946
"1993:Q2","Other",1045967,1247480,377931,109365,105984,261867,167614,224719,201513,157319,34342,9852
"1993:Q3","White",22578788,25878393,6830162,1946288,3443240,5452042,2818655,5388007,3299605,2468043,665096,166466
"1993:Q3","Black",980514,1258781,381378,139305,45901,495269,68549,128378,278267,176993,94898,6376
"1993:Q3","Hispanic",434659,641287,261799,73703,12706,148382,64117,80581,206628,157201,46386,3040
"1993:Q3","Other",1015238,1216654,358840,106583,110359,266588,153625,220659,201416,155780,36288,9348
"1993:Q4","White",22997676,26378164,6906514,1981558,3613898,5528791,2883406,5463996,3380487,2501505,704745,174237
"1993:Q4","Black",982469,1269193,388430,140086,48073,502452,66879,123273,286724,182734,97755,6235
"1993:Q4","Hispanic",435005,643164,265824,73958,11435,151851,59688,80408,208159,158911,46184,3064
"1993:Q4","Other",1008733,1211245,360829,106476,116545,277304,135057,215034,202512,156028,37485,8999
"1994:Q1","White",23108753,26462074,6903134,1997936,3454505,5598120,2940466,5567912,3353320,2475475,700311,177535
"1994:Q1","Black",996903,1304228,411451,142420,47236,504973,69983,128167,307325,201163,100136,6026
"1994:Q1","Hispanic",420826,656681,280660,76654,7302,151203,62978,77885,235855,187520,45191,3144
"1994:Q1","Other",1036641,1248389,388811,109028,114560,288241,132755,214993,211748,165311,38237,8199
"1994:Q2","White",23222116,26653331,6977896,2030183,3382328,5695993,2976729,5590202,3431215,2516446,733459,181310
"1994:Q2","Black",1005283,1319150,419192,142483,46087,499385,72744,139260,313867,206345,101584,5938
"1994:Q2","Hispanic",437432,672245,282631,77587,7229,152078,66898,85823,234814,187152,44504,3157
"1994:Q2","Other",1057546,1268946,390488,109296,108613,295050,149395,216105,211400,164679,39033,7688
"1994:Q3","White",23515455,27055842,7091023,2070797,3449559,5798927,3013867,5631669,3540387,2587653,770840,181893
"1994:Q3","Black",1013801,1325732,413585,140881,46302,503319,71753,149892,311931,202686,103462,5783
"1994:Q3","Hispanic",451946,670479,272443,76850,7778,157716,64043,91649,218533,170525,44905,3103
"1994:Q3","Other",1065851,1273670,370543,107972,109494,309874,150939,224848,207819,160184,40746,6889
"1994:Q4","White",23636807,27304072,7167051,2098626,3412560,5815769,3049348,5760718,3667265,2638488,834908,193868
"1994:Q4","Black",1030979,1341923,414653,139353,45178,508697,73734,160308,310944,204158,100804,5982
"1994:Q4","Hispanic",466489,677869,263054,77974,8282,162253,66989,99317,211380,164306,44005,3070
"1994:Q4","Other",1104162,1311422,361333,108210,107889,337284,163676,233030,207260,158987,41451,6822
"1995:Q1","White",24117867,27794285,7203989,2131650,3628213,5960067,3103745,5766621,3676419,2655230,828605,192583
