"Date","Category","Net worth","Assets","Real estate","Consumer durables","Corporate equities and mutual fund shares","Pension entitlements","Private businesses","Other assets","Liabilities","Home mortgages","Consumer credit","Other liabilities"
"1992:Q3","HS",4482348,5246976,1610177,477720,387545,1219353,493929,1058253,764628,547873,197205,19550
"1992:Q3","NoHS",1805604,2017300,671678,195887,100466,372639,192996,483634,211696,142287,63380,6028
"1992:Q4","College",12464478,14402220,3692784,1026118,2003740,2969961,1628792,3080826,1937742,1462819,361849,113074
"1992:Q4","SomeCollege",5072492,5976372,1657398,485763,696548,1354951,660236,1121476,903880,683053,193431,27396
"1992:Q4","HS",4652793,5429417,1606878,487164,434548,1288445,511997,1100385,776623,552208,203894,20522
"1992:Q4","NoHS",1873513,2086459,685955,194211,117872,378114,203106,507202,212946,142274,65595,5078
"1993:Q1","College",12681447,14623113,3764011,1016980,2090301,3024025,1651603,3076194,1941666,1474815,347409,119442
"1993:Q1","SomeCollege",5170269,6048928,1649368,505743,725142,1372916,664137,1131621,878659,651430,198053,29176
"1993:Q1","HS",4628517,5443654,1580327,493269,444420,1312571,515952,1097117,815137,596523,196814,21800
"1993:Q1","NoHS",1897342,2098177,660360,190408,117222,420476,207856,501855,200835,131420,64987,4428
"1993:Q2","College",12626687,14584901,3768387,1018265,2095047,3048140,1622794,3032267,1958213,1493134,344446,120633
"1993:Q2","SomeCollege",5266921,6173578,1684535,519424,761759,1385111,687800,1134949,906657,673227,206128,27302
"1993:Q2","HS",4779230,5611030,1614812,510387,464928,1357516,540358,1123030,831800,607104,202017,22679
"1993:Q2","NoHS",1960371,2164839,676176,188176,122300,448851,219717,509620,204468,134364,66070,4034
"1993:Q3","College",12629838,14604753,3752330,1017989,2165338,3074644,1600691,2993761,1974916,1500882,345852,128182
"1993:Q3","SomeCollege",5390136,6335992,1718402,532146,815278,1407588,711240,1151337,945857,699132,217385,29339
"1993:Q3","HS",4960696,5815380,1662069,528244,501108,1405385,563030,1155545,854685,619971,211028,23685
"1993:Q3","NoHS",2028530,2238989,699378,187499,130481,474664,229986,516981,210459,138032,68402,4025
"1993:Q4","College",12492601,14485870,3760877,1016948,2193518,3057928,1527214,2929385,1993269,1506357,353544,133368
"1993:Q4","SomeCollege",5610143,6582933,1746076,550680,894264,1435965,762418,1193530,972790,709775,232557,30458
"1993:Q4","HS",5211160,6107196,1705835,547319,555369,1469016,607539,1222119,896037,643969,227306,24762
"1993:Q4","NoHS",2109980,2325766,708808,187131,146801,497489,247858,537678,215786,139077,72762,3947
"1994:Q1","College",12602623,14585703,3791155,1005797,2079493,3118254,1567438,3023567,1983080,1503047,344572,135461
"1994:Q1","SomeCollege",5621448,6585081,1758611,572284,862560,1421290,758525,1211810,963632,698035,236501,29096
"1994:Q1","HS",5256685,6207435,1735990,564799,545442,1508680,622867,1229658,950750,694443,230164,26144
"1994:Q1","NoHS",2082367,2293154,698299,183157,136108,494314,257353,523922,210787,133944,72639,4203
"1994:Q2","College",13079832,15073579,3791139,1001193,2110395,3239152,1730462,3201238,1993747,1508244,347944,137558
"1994:Q2","SomeCollege",5435064,6423027,1780959,590477,800206,1407578,698777,1145029,987962,710235,249377,28349
"1994:Q2","HS",5200862,6192729,1787322,584816,519674,1519954,588697,1192266,991867,719302,244811,27753
"1994:Q2","NoHS",2006618,2224338,710788,183062,113981,475822,247829,492856,217720,136840,76447,4433
"1994:Q3","College",13245386,15247156,3752606,1000340,2158897,3299169,1785127,3251018,2001770,1510756,353450,137564
"1994:Q3","SomeCollege",5458641,6487020,1804639,604756,807274,1433231,685990,1151130,1028379,736984,265021,26374
"1994:Q3","HS",5323758,6342200,1850968,604987,536400,1561206,582284,1206356,1018442,729312,260058,29072
"1994:Q3","NoHS",2019268,2249347,739381,186417,110563,476230,247201,489555,230078,143997,81424,4658
"1994:Q4","College",13605419,15629805,3727639,993439,2180323,3376448,1901314,3450644,2024386,1515610,364433,144344
"1994:Q4","SomeCollege",5343719,6409397,1811271,619389,770568,1430043,646846,1131282,1065679,753306,282838,29535
"1994:Q4","HS",5347365,6411877,1903635,623477,525717,1596412,562227,1200409,1064512,747645,286097,30770
"1994:Q4","NoHS",1941934,2184207,763547,187859,97303,421100,243359,471039,242273,149379,87800,5094
"1995:Q1","College",13928917,15939702,3703135,990891,2346340,3435046,1983520,3480770,2010785,1509600,358593,142592
"1995:Q1","SomeCollege",5430968,6508675,1826225,635225,797827,1470421,631937,1147040,1077707,758987,291818,26903
"1995:Q1","HS",5430092,6517395,1952996,639525,557653,1623490,545676,1198057,1087303,771241,283785,32277
"1995:Q1","NoHS",1970543,2218587,769743,195058,97332,452066,239023,465365,248044,152098,90351,5595
"1995:Q2","College",13948812,15969609,3639608,987098,2468191,3446268,1986379,3442065,2020797,1511061,365546,144190
"1995:Q2","SomeCollege",5615536,6741062,1875453,640343,858362,1536001,650389,1180515,1125526,791815,307122,26590
"1995:Q2","HS",5658006,6760018,2025267,652401,612175,1682497,552604,1235075,1102012,773250,294784,33978
"1995:Q2","NoHS",2052504,2316860,784853,204477,108448,491285,244262,483536,264356,162177,95675,6505
"1995:Q3","College",13966989,16016490,3618483,980943,2610155,3445612,1975094,3386204,2049501,1523715,374920,150866
"1995:Q3","SomeCollege",5846267,7015651,1917594,645815,936767,1600594,683263,1231619,1169384,815273,323340,30771
"1995:Q3","HS",5891847,7015961,2084878,662519,681302,1744644,570504,1272113,1124114,779071,309390,35652
"1995:Q3","NoHS",2161620,2442806,792183,215712,125700,548385,255644,505181,281186,171711,101949,7525
"1995:Q4","College",14163759,16243942,3647944,1000225,2797636,3516525,1926573,3355040,2080183,1531948,395200,153035
"1995:Q4","SomeCollege",6094271,7301913,1947868,653808,1017410,1633825,736174,1312828,1207643,833850,344521,29271
"1995:Q4","HS",6105473,7259929,2113265,667913,743549,1778996,615808,1340399,1154455,790864,324728,38863
"1995:Q4","NoHS",2178346,2452275,780377,207309,133564,567409,254186,509430,273929,163262,103711,6956
"1996:Q1","College",14207956,16328662,3711567,1022913,2883528,3573634,1851998,3285023,2120706,1557931,398076,164699
"1996:Q1","SomeCollege",6366498,7602214,1983477,663702,1074980,1671948,796094,1412014,1235716,852227,349874,33615
"1996:Q1","HS",6337655,7502681,2136072,673639,790710,1822687,665548,1414025,1165026,812627,314706,37693
"1996:Q1","NoHS",2195120,2456166,761378,202170,139875,577359,254309,521075,261046,155520,99552,5974
